Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.97,79.76,571172335.4,4196392.2,79.762
2,UNKNOWN_4,2.29,0.01,1304,336.3,0.006
3,UNKNOWN_6,5.92,0.01,2989.6,275.9,0.005
4,UNKNOWN,6.59,0.03,24815,1425,0.027
29,UNKNOWN,6.73,0,2339.7,118.6,0.002
5,UNKNOWN_7,6.86,0.01,7199.4,306.2,0.006
30,UNKNOWN_8,6.95,0.01,9582.5,451.4,0.009
6,UNKNOWN,7.09,1.61,742009.7,84661.9,1.609
7,UNKNOWN,7.44,0,9309.6,241.9,0.005
31,UNKNOWN,7.48,1.49,598967.7,78455.8,1.491
32,UNKNOWN_9,7.76,0,9308.1,55.2,0.001
8,UNKNOWN,7.79,1.5,2766424.6,78820.5,1.498
43,UNKNOWN_10,7.83,1.4,2906195.7,73454.1,1.396
44,UNKNOWN,7.87,12.67,3666476.7,666524.4,12.669
9,UNKNOWN_11,8.2,0.85,666529.7,44625.5,0.848
33,UNKNOWN_12,8.38,0.02,22498.9,845.7,0.016
10,UNKNOWN,8.45,0,5106.5,124,0.002
34,UNKNOWN,8.48,0,5983.1,185.9,0.004
35,UNKNOWN,8.53,0.24,171940.1,12721,0.242
11,UNKNOWN,8.73,0.01,21576.4,750,0.014
36,UNKNOWN,8.83,0,2677.5,118,0.002
12,UNKNOWN,8.9,0,3343.6,126.4,0.002
37,UNKNOWN,8.96,0.01,7574.7,283.9,0.005
39,UNKNOWN,9.07,0,1378.4,85.2,0.002
13,UNKNOWN,9.13,0,1938.4,123.3,0.002
38,UNKNOWN,9.2,0,2286,105.7,0.002
14,UNKNOWN_13,9.35,0.01,12226.2,621.7,0.012
40,UNKNOWN,9.39,0.11,80098.3,5683,0.108
15,UNKNOWN_1,9.61,0.02,9636.6,992,0.019
41,UNKNOWN,9.72,0,1846.2,114.3,0.002
16,UNKNOWN,9.84,0,1976.4,104.8,0.002
42,UNKNOWN,9.91,0.01,5567.5,407.1,0.008
17,UNKNOWN,10.11,0.02,8180.3,1054.3,0.02
18,UNKNOWN,10.55,0.02,9205.3,1231,0.023
19,UNKNOWN_14,10.76,0.02,11109.3,1198.2,0.023
20,UNKNOWN,10.98,0.06,21935.5,3261.1,0.062
28,UNKNOWN,11.19,0.01,5894.3,755.7,0.014
21,UNKNOWN,11.49,0,2627.3,231.3,0.004
22,UNKNOWN,11.83,0.01,2343.1,312.4,0.006
23,UNKNOWN,12.22,0.03,10925.9,1833.1,0.035
24,UNKNOWN,12.59,0.02,6856.3,1016.3,0.019
25,UNKNOWN,13.22,0,1142.2,137.2,0.003
26,UNKNOWN,13.56,0,1484.5,214.9,0.004
27,UNKNOWN,14.11,0.01,1777.1,358.9,0.007
,,,,,,
Total,-,-,100,583026923.4,5261141.2,100
