Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.97,64.24,461445092.7,3167872.2,64.245
2,UNKNOWN_4,2.25,0.01,2383,617.4,0.013
3,UNKNOWN,4.91,0,1120.9,204.9,0.004
4,UNKNOWN_6,5.9,0.01,5187.2,532.1,0.011
5,UNKNOWN,6.15,0,850.2,70.1,0.001
6,UNKNOWN,6.57,0.05,39915.1,2604.2,0.053
32,UNKNOWN,6.73,0,3883.6,186.6,0.004
7,UNKNOWN,6.84,0.01,14565.3,738.2,0.015
33,UNKNOWN_7,6.95,0.02,15613.4,781.5,0.016
8,UNKNOWN_8,7.06,2.95,1120926.4,145379.5,2.948
34,UNKNOWN,7.4,0.05,56107.2,2481.6,0.05
35,UNKNOWN,7.47,0.01,24687.7,333.2,0.007
9,UNKNOWN,7.5,1.1,544462.8,54241.7,1.1
10,UNKNOWN_9,7.72,0.49,423497.8,24380.2,0.494
36,UNKNOWN,7.76,0.07,439435.7,3454.6,0.07
11,UNKNOWN,7.79,1.77,2756637.8,87216.9,1.769
46,UNKNOWN_10,7.83,1.36,2875714.1,67009.4,1.359
47,UNKNOWN_11,8.01,25.55,4249233.3,1259956.5,25.552
37,UNKNOWN_12,8.3,0.97,605804.1,47879.7,0.971
12,UNKNOWN,8.55,0.03,112481.5,1456.1,0.03
38,UNKNOWN,8.57,0.4,272071.2,19691.5,0.399
13,UNKNOWN,8.78,0.03,31001,1402.2,0.028
40,UNKNOWN,8.87,0,4179.8,225.8,0.005
14,UNKNOWN,8.95,0,5402.5,232.4,0.005
41,UNKNOWN,9,0.01,11982.7,550.9,0.011
15,UNKNOWN,9.09,0,3187.6,195.1,0.004
42,UNKNOWN,9.16,0.01,3898.5,271.5,0.006
43,UNKNOWN,9.23,0,4348.6,224.8,0.005
16,UNKNOWN_13,9.39,0.03,44768.5,1381.8,0.028
39,UNKNOWN,9.41,0.19,120725.8,9214.8,0.187
17,UNKNOWN_1,9.63,0.04,15218.3,2075.3,0.042
18,UNKNOWN,9.84,0.01,4138.9,313.9,0.006
44,UNKNOWN,9.94,0.01,9792.2,603,0.012
19,UNKNOWN,10.13,0.05,13802.3,2386.4,0.048
20,UNKNOWN,10.56,0.05,16369.4,2498.3,0.051
21,UNKNOWN_14,10.75,0.05,19548.2,2392.8,0.049
22,UNKNOWN,10.98,0.12,34530.5,5730.3,0.116
45,UNKNOWN,11.15,0.05,17134.7,2685.8,0.054
23,UNKNOWN,11.48,0.02,8098.9,1205.1,0.024
24,UNKNOWN,11.8,0.03,8811.5,1615.2,0.033
25,UNKNOWN,12.19,0.08,16813.6,3878.7,0.079
26,UNKNOWN,12.57,0.05,11467.4,2381.4,0.048
27,UNKNOWN,13.08,0.01,2494.3,401.6,0.008
28,UNKNOWN,13.22,0.01,3276.5,617.1,0.013
29,UNKNOWN,13.54,0.01,2941.5,538.9,0.011
30,UNKNOWN,14.09,0.01,2927.7,686.3,0.014
31,UNKNOWN,14.31,0,980.5,153.6,0.003
,,,,,,
Total,-,-,100,475427512.3,4930950.9,100
