Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN,0.88,97.85,863173887.3,6469923.6,97.853
2,UNKNOWN_7,6.88,0,2673.4,95.4,0.001
3,UNKNOWN,7.2,0,4043.3,132.9,0.002
4,UNKNOWN,7.34,1.7,1125031.8,112079,1.695
5,UNKNOWN,7.83,0,4523.4,119.3,0.002
24,UNKNOWN_10,7.85,0,5886.9,191.4,0.003
6,UNKNOWN_11,7.97,0,3779.8,128.7,0.002
7,UNKNOWN,8.11,0.01,16889.7,379.1,0.006
8,UNKNOWN_12,8.27,0,423.8,55.8,0.001
9,UNKNOWN,9.19,0.01,18321,816.6,0.012
18,UNKNOWN_13,9.26,0.04,35606,2415,0.037
10,UNKNOWN_1,9.52,0,1832.6,209.3,0.003
11,UNKNOWN,9.93,0,2925.8,247.8,0.004
12,UNKNOWN,10.58,0,7247.5,146.2,0.002
20,UNKNOWN,10.6,0,7212.9,150.4,0.002
19,UNKNOWN,10.65,0.05,47691.6,3242.8,0.049
13,UNKNOWN_14,10.73,0.01,42399.4,788,0.012
21,UNKNOWN,10.76,0.15,55967.7,9748.6,0.147
14,UNKNOWN,11.1,0.04,20049.3,2964.5,0.045
22,UNKNOWN,11.3,0.01,9130.8,424.9,0.006
15,UNKNOWN,11.36,0.01,13599.2,342.1,0.005
23,UNKNOWN,11.4,0.1,31906.1,6586.3,0.1
16,UNKNOWN,12.13,0,1611.2,213.6,0.003
17,UNKNOWN,12.54,0.01,3494.8,487.5,0.007
,,,,,,
Total,-,-,100,864636135.5,6611888.8,100
