Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Time.1,Quantity.1,Height.1,Area.1,Area %.1,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2378179.9,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2378179.9
1,UNKNOWN_2,0.96,56.69,326032039.7,2378179.9,56.693,,Area SI (µV.Min),65854.1,,0.96,56.69,326032039.7,2378179.9,56.693,,Area SI (µV.Min),65854.1
2,UNKNOWN_4,2.28,0.01,1932.5,540.7,0.013,,Peso SI (mg),103.8,,2.28,0.01,1932.5,540.7,0.013,,Peso SI (mg),103.8
3,UNKNOWN,4.95,0,1042.8,194.2,0.005,,Volumen total SI (mL),10.0,,4.95,0,1042.8,194.2,0.005,,Volumen total SI (mL),10.0
4,UNKNOWN_6,5.92,0.01,5050.4,511,0.012,,Conc SI (mg/ml),10.379999999999999,,5.92,0.01,5050.4,511,0.012,,Conc SI (mg/ml),10.379999999999999
5,UNKNOWN,6.16,0,736.8,58.1,0.001,,Vol SI alicuota (mL),1.0,,6.16,0,736.8,58.1,0.001,,Vol SI alicuota (mL),1.0
6,UNKNOWN,6.44,0,264.5,23.6,0.001,,Peso muestra (mg),243.7,,6.44,0,264.5,23.6,0.001,,Peso muestra (mg),243.7
7,UNKNOWN,6.58,0.06,39325.8,2670.1,0.064,,Area FAMES,1750818.5999999996,,6.58,0.06,39325.8,2670.1,0.064,,Area FAMES,1624792.2999999998
32,UNKNOWN,6.73,0,3870.2,205.4,0.005,,% FAMEs,1.1324007732673154,,6.73,0,3870.2,205.4,0.005,,% FAMEs,1.050889028091648
8,UNKNOWN_7,6.86,0.01,10862.6,547.8,0.013,,R,0.729056835215738,,6.86,0.01,10862.6,547.8,0.013,,R,0.729056835215738
9,UNKNOWN_8,6.95,0.02,14661.3,802.6,0.019,,,0.8255845239541235,,6.95,0.02,14661.3,802.6,0.019,,,0.7661578289834398
33,UNKNOWN,7.06,3.44,1030089.5,144106.9,3.435,,,,,7.06,3.44,1030089.5,144106.9,3.435,,,
42,UNKNOWN,7.39,0.15,111934.5,6219.6,0.148,,,,,7.39,0.15,111934.5,6219.6,0.148,,,
10,UNKNOWN,7.47,0.02,47934.1,878.8,0.021,,,,,7.47,0.02,47934.1,878.8,0.021,,,
34,UNKNOWN,7.5,1.2,489427.4,50487.8,1.204,,,,,7.5,1.2,489427.4,50487.8,1.204,,41.736000000000004,
