Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2547359.1
1,UNKNOWN_2,0.96,56.06,388081655.9,2547359.1,56.06,,Area SI (µV.Min),65607.8
2,UNKNOWN_4,2.27,0.01,2105.9,558.5,0.012,,Peso SI (mg),103.8
3,UNKNOWN,4.92,0,1025.9,195.3,0.004,,Volumen total SI (mL),10.0
4,UNKNOWN_6,5.91,0.01,4956.7,494,0.011,,Conc SI (mg/ml),10.379999999999999
5,UNKNOWN,6.16,0,640.4,51,0.001,,Vol SI alicuota (mL),1.0
6,UNKNOWN,6.43,0,238.6,12.5,0,,Peso muestra (mg),256.4
42,UNKNOWN,6.51,0,230.2,7.9,0,,Area FAMES,1931033.0000000002
43,UNKNOWN,6.57,0.06,42260,2814.9,0.062,,% FAMEs,1.1915535182432055
7,UNKNOWN,6.73,0,3933.2,196.7,0.004,,R,0.7263300999249416
8,UNKNOWN,6.85,0.01,11019.9,518.5,0.011,,,0.8654611859715031
41,UNKNOWN_7,6.94,0.02,16367.9,832.9,0.018,,,
9,UNKNOWN_8,7.05,3.64,1156615.4,165400.3,3.64,,,
10,UNKNOWN,7.51,1.08,466318.4,49002.2,1.078,,,
11,UNKNOWN_9,7.71,0.57,473237.6,26090.5,0.574,,,
48,UNKNOWN,7.75,0.09,509441.2,4176.6,0.092,,,
49,UNKNOWN,7.78,1.83,2767708.6,83070.9,1.828,,,
44,UNKNOWN_10,7.81,1.58,2918891.6,71649.9,1.577,,,
45,UNKNOWN_11,8.05,32.33,4519079.6,1469037.8,32.329,,,
46,UNKNOWN_12,8.32,1.06,583267,48353.1,1.064,,,
12,UNKNOWN,8.57,0.03,136381.2,1438.7,0.032,,,
47,UNKNOWN,8.58,0.49,299836.7,22291.7,0.491,,,
13,UNKNOWN,8.79,0.03,32882.7,1477.9,0.033,,,
36,UNKNOWN,8.88,0,3547.2,165.9,0.004,,,
14,UNKNOWN,8.96,0.01,4834.7,232.8,0.005,,,
37,UNKNOWN,9.01,0.01,12265.3,526.3,0.012,,,
15,UNKNOWN,9.11,0,2279.4,130.6,0.003,,,
38,UNKNOWN,9.18,0.01,3664.4,230.7,0.005,,,
39,UNKNOWN,9.24,0,4015.2,214,0.005,,,
16,UNKNOWN_13,9.38,0.04,69768,1869.8,0.041,,,
50,UNKNOWN,9.4,0.23,130624.4,10336.4,0.227,,,
17,UNKNOWN_1,9.64,0.05,15425.5,2110,0.046,,,
18,UNKNOWN,9.83,0,3132.5,216.7,0.005,,,
40,UNKNOWN,9.95,0.01,9820.6,614.6,0.014,,,
19,UNKNOWN,10.14,0.04,13668.1,1969.2,0.043,,,
20,UNKNOWN,10.55,0.05,16557.9,2358.5,0.052,,,
22,UNKNOWN_14,10.75,0.04,21820.1,1942.8,0.043,,,
32,UNKNOWN,10.83,0.01,15743.8,432.6,0.01,,,
33,UNKNOWN,10.96,0.11,37849.5,4834.8,0.106,,,
35,UNKNOWN,11.05,0.16,45024.3,7198.4,0.158,,,
23,UNKNOWN,11.45,0.03,10487,1575.1,0.035,,,
24,UNKNOWN,11.72,0.07,18001.1,2997.3,0.066,,,
25,UNKNOWN,12.11,0.02,13028.9,732.4,0.016,,,
34,UNKNOWN,12.17,0.08,18374.2,3500,0.077,,,
26,UNKNOWN,12.54,0.06,12612.5,2692.1,0.059,,,
27,UNKNOWN,13.05,0.01,2327.3,321.1,0.007,,,
28,UNKNOWN,13.19,0.01,3389.3,590.3,0.013,,,
29,UNKNOWN,13.51,0.01,3029.3,499.9,0.011,,,
21,UNKNOWN,13.91,0,1221,77.2,0.002,,,
30,UNKNOWN,14.07,0.01,2627.2,535.2,0.012,,,
31,UNKNOWN,14.29,0,561,64.4,0.001,,,
,,,,,,,,,
Total,-,-,100,402523794.2,4543999.9,100,,,
