Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.98,89.32,297460442.3,2072602,89.319
2,UNKNOWN_6,5.92,0.01,1650.6,160.6,0.007
3,UNKNOWN,6.11,0.01,2518.8,235.3,0.01
4,UNKNOWN,6.63,0.01,4053.9,188.2,0.008
38,UNKNOWN,6.72,0,769.1,41.6,0.002
5,UNKNOWN_8,6.96,0.01,3198.6,133.7,0.006
6,UNKNOWN,7.2,0.53,194435.4,12222.5,0.527
7,UNKNOWN,7.45,3.66,967562.9,85012.3,3.664
8,UNKNOWN_10,7.82,2.09,742113,48472.5,2.089
9,UNKNOWN,7.93,1.99,674380.9,46157.9,1.989
10,UNKNOWN_11,8.16,0.31,175678.5,7298.4,0.315
11,UNKNOWN,8.29,0.01,4036.1,267.3,0.012
12,UNKNOWN_12,8.46,0.01,5644.7,327.6,0.014
30,UNKNOWN,8.5,0.02,25169.7,436,0.019
29,UNKNOWN,8.52,0.04,25114.6,1041.4,0.045
31,UNKNOWN,8.67,0,3176.9,113.4,0.005
13,UNKNOWN,8.76,0,467.4,19.8,0.001
14,UNKNOWN,8.9,0,1172,75.3,0.003
15,UNKNOWN,9.08,0,350.2,26,0.001
16,UNKNOWN,9.27,0.05,25916,1198.9,0.052
32,UNKNOWN_13,9.34,0.05,52821.7,1131.2,0.049
37,UNKNOWN,9.37,0.15,49953.3,3481.8,0.15
17,UNKNOWN,9.86,0.01,1437.5,188.5,0.008
18,UNKNOWN,10.04,0.02,3428.3,368,0.016
19,UNKNOWN,10.55,0,1037.5,109.7,0.005
20,UNKNOWN_14,10.7,0.01,10324.3,260.5,0.011
34,UNKNOWN,10.74,0.17,70864.4,3952.4,0.17
21,UNKNOWN,10.82,0.07,63608,1523.7,0.066
33,UNKNOWN,10.86,0.59,80771.6,13642,0.588
22,UNKNOWN,11.21,0.21,30263.5,4897.9,0.211
36,UNKNOWN,11.4,0.03,16370.1,648.8,0.028
23,UNKNOWN,11.45,0.04,25392.2,857.8,0.037
35,UNKNOWN,11.49,0.47,46869.9,10939.9,0.471
24,UNKNOWN,12.25,0.03,4010,745.9,0.032
25,UNKNOWN,12.5,0.02,2839.8,393.6,0.017
26,UNKNOWN,12.68,0.04,5935.4,916.7,0.04
27,UNKNOWN,13.58,0.01,772,133.4,0.006
28,UNKNOWN,14,0.01,1119.8,237.9,0.01
,,,,,,
Total,-,-,100,300785670.8,2320460.3,100
