Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.98,92.51,300324591.5,1997058.5,92.512
2,UNKNOWN_6,5.9,0.01,1674.4,171,0.008
3,UNKNOWN,6.1,0.01,3026.7,265.5,0.012
31,UNKNOWN,6.38,0,443.7,20.8,0.001
4,UNKNOWN,6.63,0,1235.6,59.4,0.003
32,UNKNOWN,6.72,0,591.2,22.9,0.001
5,UNKNOWN_7,6.9,0,398.1,12.3,0.001
33,UNKNOWN_8,6.95,0,2405.3,83.1,0.004
6,UNKNOWN,7.15,0,295.2,30.4,0.001
7,UNKNOWN,7.23,0.17,82702.5,3650.2,0.169
8,UNKNOWN,7.45,3.92,970329.2,84635,3.921
34,UNKNOWN_9,7.69,0,1177.5,46.6,0.002
9,UNKNOWN,7.77,0,1195.3,55.5,0.003
35,UNKNOWN_10,7.86,0.67,285069.2,14456.5,0.67
10,UNKNOWN_11,7.96,0.59,274739.8,12717,0.589
11,UNKNOWN,8.17,0.11,76047.9,2286.8,0.106
12,UNKNOWN,8.3,0.01,2680.3,186.2,0.009
36,UNKNOWN_12,8.36,0,1581.6,63.2,0.003
13,UNKNOWN,8.46,0.01,3857.4,223.5,0.01
37,UNKNOWN,8.5,0.01,9014.9,209.6,0.01
40,UNKNOWN,8.52,0.02,9840.2,439.8,0.02
38,UNKNOWN,8.67,0,1290.5,75.7,0.004
14,UNKNOWN,8.82,0,386.6,16.8,0.001
39,UNKNOWN,8.9,0,395.3,19.5,0.001
15,UNKNOWN,9.28,0.05,23511.1,1030.2,0.048
29,UNKNOWN_13,9.34,0.17,49516.9,3630.3,0.168
16,UNKNOWN_1,9.61,0.01,2866.5,311.4,0.014
17,UNKNOWN,9.86,0,826.2,55.9,0.003
41,UNKNOWN,9.93,0,714.9,54.8,0.003
18,UNKNOWN,10.04,0.01,3106.6,267.8,0.012
42,UNKNOWN,10.28,0,265.1,28.6,0.001
19,UNKNOWN,10.56,0,564.7,58.4,0.003
20,UNKNOWN_14,10.7,0.01,9026.2,224.9,0.01
43,UNKNOWN,10.75,0.17,65581.4,3668.4,0.17
21,UNKNOWN,10.83,0.06,57497.7,1343.5,0.062
30,UNKNOWN,10.87,0.62,73689.6,13452.1,0.623
22,UNKNOWN,11.23,0.18,27065,3895.4,0.18
44,UNKNOWN,11.4,0.03,14522.2,640.7,0.03
23,UNKNOWN,11.46,0.03,22605,639.2,0.03
45,UNKNOWN,11.5,0.48,44513,10432.7,0.483
24,UNKNOWN,12.25,0.03,3354.8,598.9,0.028
25,UNKNOWN,12.51,0.02,2631.2,349.4,0.016
26,UNKNOWN,12.69,0.04,5726.3,895.3,0.041
27,UNKNOWN,13.6,0.01,684.3,118.4,0.005
28,UNKNOWN,14.02,0.01,973.4,206.9,0.01
,,,,,,
Total,-,-,100,302464212.1,2158708.8,100
