Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.97,58.72,343941372.1,2279314.7,58.721
2,UNKNOWN_4,2.28,0.02,2373.1,676.1,0.017
3,UNKNOWN,4.92,0,853.9,154.5,0.004
4,UNKNOWN_6,5.9,0.01,4477.5,443.1,0.011
5,UNKNOWN,6.13,0,1359.2,125.9,0.003
6,UNKNOWN,6.43,0,193.1,14.7,0
7,UNKNOWN,6.57,0.06,36012.3,2228.7,0.057
35,UNKNOWN,6.72,0,3331.6,171.7,0.004
8,UNKNOWN_7,6.85,0.02,13706.1,668,0.017
36,UNKNOWN_8,6.95,0.02,14106,695.4,0.018
9,UNKNOWN,7.03,0,2289.1,42.3,0.001
10,UNKNOWN,7.07,3.36,936175.5,130354.1,3.358
37,UNKNOWN,7.47,0.05,77167,1858.9,0.048
11,UNKNOWN,7.5,0.93,493219.7,36071.1,0.929
12,UNKNOWN_9,7.71,1.26,522562.2,49101,1.265
52,UNKNOWN,7.76,0.1,442190.6,3998.1,0.103
13,UNKNOWN,7.79,2.08,2570149.3,80806.7,2.082
53,UNKNOWN_10,7.83,1.71,2759477.9,66379.7,1.71
54,UNKNOWN_11,7.94,27.65,3968810.5,1073121.1,27.646
14,UNKNOWN,8.28,1.14,634349.7,44359.6,1.143
38,UNKNOWN_12,8.44,0.04,29367.8,1394.4,0.036
15,UNKNOWN,8.5,0.01,14650.1,474.3,0.012
39,UNKNOWN,8.54,0.03,92849.6,1088.5,0.028
55,UNKNOWN,8.57,0.45,241012.3,17339.1,0.447
16,UNKNOWN,8.76,0.04,29197.1,1557.6,0.04
40,UNKNOWN,8.85,0.01,6980.1,372.5,0.01
17,UNKNOWN,8.92,0.01,7598.2,466.4,0.012
41,UNKNOWN,8.98,0.02,12448.6,697.8,0.018
18,UNKNOWN,9.07,0.01,5668.5,350.4,0.009
42,UNKNOWN,9.15,0.01,6699.6,474.3,0.012
43,UNKNOWN,9.21,0.01,6620.9,375.1,0.01
19,UNKNOWN_13,9.35,0.13,96219.3,4861.4,0.125
44,UNKNOWN,9.4,0.24,117417.8,9269.6,0.239
20,UNKNOWN_1,9.6,0.07,16754.4,2833.3,0.073
21,UNKNOWN,9.81,0.01,7491,550.2,0.014
45,UNKNOWN,9.91,0.02,11648.9,821.1,0.021
22,UNKNOWN,10.07,0.03,10806.1,1262.6,0.033
46,UNKNOWN,10.13,0.04,13036.3,1540.1,0.04
23,UNKNOWN,10.52,0.06,16729.9,2425.6,0.062
24,UNKNOWN,10.68,0.04,32861,1489.8,0.038
47,UNKNOWN_14,10.74,0.15,83609.3,5940.1,0.153
25,UNKNOWN,10.82,0.07,85803.4,2878.4,0.074
48,UNKNOWN,10.86,0.51,131392.9,19895.5,0.513
26,UNKNOWN,11.26,0.12,35170.4,4612.4,0.119
27,UNKNOWN,11.4,0.02,24446.7,753.6,0.019
49,UNKNOWN,11.44,0.01,24612.3,512.1,0.013
50,UNKNOWN,11.46,0.02,32653,927.5,0.024
51,UNKNOWN,11.51,0.32,53941.4,12263.7,0.316
28,UNKNOWN,11.98,0.03,10672,1214,0.031
29,UNKNOWN,12.12,0.1,19002.4,3923.7,0.101
30,UNKNOWN,12.49,0.06,14242.1,2187,0.056
31,UNKNOWN,12.67,0.06,11163.1,2424.6,0.062
32,UNKNOWN,13.1,0.03,4862.1,1101.1,0.028
33,UNKNOWN,13.44,0.03,4407.3,1163.3,0.03
34,UNKNOWN,14,0.04,4336.8,1578.5,0.041
,,,,,,
Total,-,-,100,357740549.4,3881604.9,100
